news,masked headline,ans,predicted_ans,calculation,response
"(Jul 5, 2012  2:29 PM CDT) After a rare surplus in 2010, last year saw the Vatican's biggest deficit in years: $19 million, the AP reports. The figure comes despite bigger donations from dioceses around the world and the Vatican bank's $62 million donation to the pope. Officials say weak markets—particularly in real estate—as well as high employee and media costs cut into the budget. The Vatican's television, radio, and newspaper organizations are expensive and bring in little. On the bright side for the Vatican, donations from believers for charity works were up, from $67.7 million in 2010 to $69.7 million in 2011. That money, however, doesn't factor into the operating budget. The Vatican city state, a separate entity, also boasted a surplus of $27 million. Despite the deficit, the Vatican's 2832 staffers needn't worry: There won't be any layoffs, says a spokesman, who noted that in global terms, the deficit isn't all that bad.",Vatican Slammed With $<MASK>M Deficit,19,19,Copy(19),<MASK> = 19
"(Mar 2, 2011  6:53 PM) Democrats have another open Senate seat to defend: Daniel Akaka of Hawaii says he won't run for re-election in 2012, reports the Honolulu Advertiser. The 86-year-old is a beloved political figure in Hawaii, having served in the Senate since 1990 and in the House for 14 years before that. He is the seventh senator and the fifth Democrat to opt out of a re-election run, notes Politico.  I will always cherish the time I spent working in Washington, DC, and extend my heartfelt thanks to the people of Hawaii for their confidence in me,  said Akaka in a statement. Other Democrats—including fellow Hawaii Sen. Daniel Inouye, also 86—had raised concerns about Akaka's fundraising and ability to withstand another campaign.","Hawaii Senator Daniel Akaka, a Democrat, Will Not Run for Re-Election in <MASK>",2012,2012,Copy(2012),<MASK> = 2012
"(Oct 20, 2016  8:02 AM CDT) A swimmer who vanished off a Massachusetts beach was found safe and sound Tuesday after treading water for 4 1/2 hours. Randall Hackett, 58, and his 28-year-old son-in-law, Alexander Auerbach, had decided to swim part of the 4-mile distance of Crane Beach in Ipswich around 5pm Tuesday, report the Salem News and WCVB. Both are strong swimmers, and they were clad in wetsuits, but family members were nonetheless concerned when neither had returned to shore after an hour and a half, per ABC News. Shortly after family members reported the pair missing, Auerbach was found on the beach around 7:30pm, about a mile south of the men's starting point, but he said he'd lost track of Hackett because of rip currents and heavy fog. For two hours, the Coast Guard, police, and fire department combed the water before rescuers using an infrared camera aboard a helicopter spotted Hackett treading water a quarter-mile offshore, per WCVB. Hackett was plucked from the water around 9:30pm and returned to the beach, where he walked into his wife's arms.  The fog was so thick you couldn't even see your hand,  says Hackett, who was taken to a hospital as a precaution.  I made the decision to try and conserve energy,  he adds, noting he clung to a buoy for a time.  I thought I could survive until morning.  On Facebook, police called the rescue  a tremendous effort … in difficult conditions and rough waters,  while the Coast Guard warns water conditions are getting worse as temperatures drop. (This Coast Guard rescuer had to rely solely on his own muscles in another incident.)",Man's Quick Swim Turns Into <MASK>-Hour Nightmare,4,4.5,Copy(4),<MASK> = 4.5
"(Oct 13, 2015  11:05 AM CDT) British PM David Cameron is personally appealing for the release of a British who faces 360 lashes in Saudi Arabia—a punishment family members say will kill him. Karl Andree, 74, was arrested for transporting homemade wine in the port city of Jiddah in August 2014, reports the New York Times. Alcohol is banned in the country. Andree was sentenced to a one-year prison sentence, which he has served, and 360 lashes, which his family was  led to believe  would be voided because of his age and health, his daughter tells the BBC. There now  seems to be some question mark  over that, she says, noting the lashes would be equal to a death sentence.  He's survived three types of cancer with very strong cancer treatments, he's asthmatic, he has gout. He's not very well,  she says. Andree remains behind bars awaiting the lashes. A government rep says  we are actively seeking his release as soon as possible,  noting Cameron will write to the Saudis directly. The rep adds embassy staff have been visiting Andree regularly. Andree's son, however, says his father didn't receive any visits for six months and fears the government isn't doing enough to ensure his release.  My mother has dementia and is deteriorating quite rapidly and my father really wants to come back and see her,  he says. But  my father is at the bottom of a list,  he tells BBC Radio 4, per the Guardian.  I feel that the business dealings with Saudi Arabia and the UK are probably taking priority.  On Tuesday, the British government revealed it was ending a $9 million program to train Saudi prison workers over concerns about the country's justice system, per the Times. (A prominent Saudi blogger got a sentence of 1000 lashes.)",Family: <MASK> Lashes for Wine Could Kill Elderly Brit,360,360,Copy(360),Family: 360 Lashes for Wine Could Kill Elderly Brit
"(Oct 22, 2008  8:40 AM CDT) Wachovia reported losses of $23.9 billion in the third quarter, a whopping hit of $11.18 per share that blew by analysts’ estimates of a 2-cent-per-share loss, reports Bloomberg. But Wachovia’s loss—virtually all tied to mortgages or mortgage-related securities—may be Wells Fargo’s gain. New tax rules allow Wells Fargo, which agreed to buy Wachovia for $14 billion, to more easily absorb the losses.  The more losses the better off they are,'' an analyst tells Bloomberg.  It's kind of a free pass.'' Wells Fargo said the company is  on track  to complete the merger, which will help give it a nationwide presence.",Wachovia Takes Massive $23.9B <MASK>rd Quarter Loss,3,3,Trans(third),<MASK> = 3rd
"(Mar 10, 2015  1:50 PM CDT) The US is the only country out of 38 that doesn't require paid maternity leave, according to a 2013 Pew Research Center study. And while the US Family and Medical Leave Act does provide for up to 12 weeks of leave for some employees with a new baby or other qualifying family situation, it's unpaid leave. A global telecom company, however, has decided it's not waiting for mandates from each of its affiliate nations, including the US: Vodafone will offer 16 paid weeks of maternity leave, covering new moms in the US, Africa, the Middle East, the Asia-Pacific region, and Europe, CBS News reports. And once moms are back behind the desk, the company takes its progressive policy one step further, paying a mother's full salary for a 30-hour workweek for the first six months. The changes will be implemented by the end of 2015, the Wall Street Journal reports. KPMG research commissioned by Vodafone estimated that businesses offering 16 paid weeks would dole out $28 billion a year globally for the benefits. But it also found that by saving $47 billion by not having to recruit and train new employees taking over for moms opting out of the workforce, companies would save $19 billion a year collectively. Vodafone CEO Vittorio Colao also thinks that since fewer moms will permanently off-ramp, his company can boost more women who work there (35% of its employees) into upper-management roles—only 21% of its international upper ranks are currently made up of women. (President Obama is on board with paid family leave.)","<MASK> Weeks of Paid Maternity Leave? Yes, at Vodafone",16,16,Copy(16),<MASK> = 16
"(Dec 21, 2017  12:15 AM) A 5-year-old boy who was struck in the face last year by a stray bullet fired during a drive-by shooting accidentally shot himself in the hand this week with a gun his father had obtained illegally, Chicago police say. Kavan Collins found the loaded, uncased gun under a mattress in an upstairs bedroom and shot himself in the finger Tuesday evening. The boy's father, Kevin Collins, was arrested late Wednesday on several felony gun charges and six misdemeanor counts of child endangerment, the AP reports. Police said the 25-year-old convicted felon's gun had a defaced serial number—which is commonly done to illegal guns to make them more difficult to trace.",Chicago Boy Shot in <MASK> Shoots Himself in Hand,2016,,"Subtract(2017,Span(last year))",<MASK> = Face
"(Aug 10, 2009  11:41 AM CDT) Today is the 100th anniversary of the birth of a man who forever changed rock and roll—even though he couldn’t play the instrument inextricably associated with his name. Leo Fender designed guitars and amplifiers that have endured for decades, including the legendary Fender Stratocaster, played by Jimi Hendrix, Eric Clapton, Bonnie Raitt, and countless others.  More than just a guitar,  the Strat  is one of the great hallmarks of modern art,  writes Michael Calore for Wired. Gorgeously designed and boasting a  clean, bright sound,  the Stratocaster is also built tough enough to take a beating. When it comes to Fenders,  the visual boldness draws you in, but it’s the playability, the way the guitar feels balanced on your shoulders, the curvature of the neck and the way its carved body hugs your own that hooks you,  Calore writes.",Happy <MASK>th to the Man Who Changed Rock,100,100,Copy(100),<MASK> = 100
"(Feb 20, 2020  1:27 AM) Two elderly passengers taken off the Diamond Princess cruise ship because they were infected with the coronavirus have become the first fatalities from the virus-stricken vessel, Japan's Health Ministry said Thursday.Japan now has three deaths linked to the COVID-19 illness. Japan's NHK public television said both were Japanese in their 80s. A Health Ministry official confirmed that they had been previously hospitalized in serious condition and had existing chronic diseases, the AP reports. The 621 coronavirus cases confirmed among the Diamond Princess's original 3711 people on board are the most anywhere outside China.",<MASK> Passengers From Virus-Stricken Ship Die,2,,Trans(Two),<MASK> = Two
"(Jan 4, 2013  6:54 AM) More depressing news on the New York City subway last night, as two police officers were shot while stopping a man moving between cars on the Brooklyn-bound N-train, reports the New York Times. Two plainclothes cops asked the rider to leave the train with them, but, after initially appearing to do so, the man shot them both—one officer in the back, and the other in the thigh and groin. The former's bulletproof vest prevented more serious injury; he returned fire with seven shots, killing the man. Both cops are in the hospital now, in stable condition. It wasn't the only subway-related story in the Times today: The paper also takes a look at the psychological battles that can plague those behind the controls. Dozens of people jump or fall to their deaths on the New York subways each year—55 in 2012—and images of the deaths can plague operators, who get three days off when a passenger is killed. Many take more unpaid time off to recover, and some never return to the job.  As cruel as it makes it sound, for the individual it's over,  says a former operator whose train killed a man in 1992.  It’s just beginning for the train operator.  (The Times reports that a third police officer was also shot last night, while off duty at his family's car dealership in the Bronx. The gunman and his accomplices were subdued and arrested.)",<MASK> Cops Shot on NYC Subway,2,2,Trans(two),<MASK> = 2
"(Oct 4, 2018  12:19 AM CDT) A suspect in South Carolina is in custody after a standoff that left one law enforcement officer dead and six others injured. Authorities in Florence say three sheriff's deputies and four police officers were shot in the incident, which started around 5pm when the suspect opened fire on deputies attempting to serve a search warrant, the State reports. The suspect then shot at other officers called to the scene, killing one. Authorities say the situation was so dangerous that a bulletproof vehicle was called in to rescue the wounded, the AP reports. The man barricaded himself in the home with children during the two-hour standoff, which ended with the suspect being taken into custody. Authorities haven't named the suspect or said why they were serving the warrant at an address in the upscale Vintage Place neighborhood, CNN reports. The slain officer has been identified as Terrence Carraway, 52, who had recently celebrated 30 years as a police officer.  Today, we lost a good friend of mine, an officer that I've known for 30 years,  Florence Police Chief Allen Heidler said.  I want you to pray for the family who lost the bravest police officer I have ever known.  President Trump and Gov. Henry McMaster called for prayers for the victims.  This is simply devastating news from Florence,  tweeted McMaster.  The selfless acts of bravery from the men and women in law enforcement is real, just like the power of prayer is real.","<MASK> Officers Shot, 1 Killed in SC Standoff",7,7,"Add(Trans(three),Trans(four))",<MASK> = 7
"(Sep 11, 2015  9:07 AM CDT) Martin Strel swims with a knife strapped to his right leg—in case he encounters sharks,  vampire  fish, and other deadly marine life in the world's wildest waters. Yesterday, the 60-year-old marathon swimmer from Phoenix announced the toughest feat of his life: a 10000-mile around-the-world voyage on water to draw public attention to increasing aquatic pollution.  And for peace and love,  Strel added in his native Slovenian. He aims to circle the globe in about 450 days, starting in Long Beach, Calif., on March 22 and passing through oceans, rivers, canals, and other bodies of water in more than 100 countries. He'll swim about five to 12 hours each day, depending on the weather and changing currents; an escort boat will offer emergency support and space for small breaks. Since 2000, Strel has swum the entire length of five rivers—the piranha-infested Amazon, the Danube in Eastern Europe, China's Yangtze, the Parana in South America, and the Mississippi, earning him the nickname  Big River Man.  On his South American swims, he watches out for the candiru, the  most dangerous fish on the planet  (it bores into every human cavity and grows by feeding on human flesh and blood); says piranhas  are OK ; and isn't freaked out by sharks, which he says leave him alone if he swims in the same direction as them and doesn't confront them. He's still finalizing details of his adventure, a multimillion-dollar jaunt that will once more include the Panama and Suez canals, the English Channel, and the Amazon, as well as the Atlantic and Pacific oceans and the Red Sea. Strel says he welcomes anyone who's interested to join him for stretches of the route.",This Man's Plan: Swim Around the World in <MASK> Days,450,450,Copy(450),<MASK> = 450
"(Apr 20, 2010  3:08 PM CDT) A New York judge has sentenced actor Michael Douglas' son to five years in prison on drug charges, calling it his  last chance to make it.  Federal Judge Richard Berman announced the sentence today after hearing Cameron Douglas apologize and admit that he had squandered a lot of opportunities to turn his life around. The 31-year-old son of the Academy Award-winning actor admitted to dealing methamphetamine and cocaine in January. He had faced a 10-year term.",Michael Douglas' Son Sentenced to <MASK> Years,5,5,Trans(five),Michael Douglas' Son Sentenced to <MASK> Years = 5
"(Feb 10, 2015  2:00 PM) Shortly after delivering her second daughter prematurely, Shelby Offrink got a devastating diagnosis—stage IV glioblastoma, a rare and incurable spinal cancer. Then, just a few months later, the engineer's stay-at-home husband Ben learned his Hodgkin's lymphoma had returned for the third time.  It's just shocking, you know?  Shelby's younger brother tells WZZM13.  At first it just seemed like a terrible dream.  The young Michigan parents, who are going through chemo and radiation treatments together, are doing what they can to simultaneously parent their 3-year-old, Maeve, and 1-year-old, Hazel. Ben will likely require a bone marrow transplant, but won't be able to undergo the procedure until his cancer is in remission, and his first round of chemo was unsuccessful, reports Fox 6. Meanwhile, doctors are doing what they can to at least slow the progression of Shelby's cancer, which has spread to her brain, though she was well enough to go home on her 31st birthday on Friday, according to the family's YouCaring fundraising site. More than $100000 has so far been raised for the couple, and friends and extended family in their hometown of Lowell, Mich., organized a  Hoops for Hope  basketball fundraiser and have started a meal sharing service for the family. (This Indiana woman fought the state to recognize her same-sex marriage before she died of ovarian cancer.)",Parents of <MASK> Toddlers Both Battling Cancer,2,2,Copy(2),Parents of <MASK> = 2
"(Apr 12, 2018  6:26 AM CDT) It's certainly not the prettiest house on the block. But a burned-out home on a 5800-square-foot lot in Silicon Valley could be yours if you have $800000 to spare and act fast.  This is what it's worth,  realtor Holly Barr tells KTVU of the San Jose home, which Fortune reports was destroyed by fire more than two years ago. She expects it to sell in a few days, noting 10 potential buyers reached out in the hours after photos of the home were posted to Facebook Tuesday. Despite its appearance—with a gaping hole in the roof, no siding, and a leaning fence—the abandoned house in the Willow Glen neighborhood has a few things going for it: It's close to the proposed Google Village, where new offices are likely to be built. And  you save a lot of money when you … do a remodel versus a complete teardown,  says Barr, noting another house nearby sold for $1.6 million.  This sells for over $1mil, Im calling it now,  reads one comment on Facebook.  Why people are leaving California,  reads another. Plenty of others are experiencing sticker shock, but a rep for the Santa Clara County Realtors Association says he's  not surprised at all  by the $800000 asking price.  Buyers are trading money for time all the time now so they can be closer to their employment,  he says. Noting a similar burned-out home in San Francisco's Bernal Heights neighborhood sold last year for $700000, Fortune reports the average price of a single family home in Santa Clara County is $1.4 million. Interested in what some might call a bargain? You should probably move now. Houses in San Jose are increasing in value by about $200000 per year, reports Bloomberg. (There's a sad real estate game involving abandoned properties.)",Home Destroyed by Fire Could Be Yours for $<MASK>K,800,800,"Round(800,000)",<MASK> = 800
"(Aug 2, 2012  11:22 PM CDT) A 12-year-old girl was Tasered while shopping at a Missouri Victoria's Secret by a cop hunting her mom.  He said, 'Put your hands behind your back.' I was just crying. I guess he got mad because then he took it out and just Tasered me,  said Dejamon Baker.  I fell on the floor and I couldn't control myself. I kept on shaking.  One of the prongs of the zapper hit her in the chest.  It was stuck in there, so he had to keep on pulling, trying to pull it out,  she said. A spokesman for the South St. Louis County police said the girl was interfering with the arrest of her mom, who was wanted for outstanding traffic tickets. But he acknowledged it was a  unique  situation, notes Opposing Views.","Girl, <MASK>, Tasered at Victoria's Secret",12,12,Copy(12),"Girl, 12, Tasered at Victoria's Secret"
"(Mar 22, 2017  2:43 AM CDT) Paul Manafort, the Trump campaign manager who stepped down last summer amid controversy over his ties to a pro-Russia party in Ukraine, is facing a fresh allegation of hiding secret payments. Ukraine lawmaker Serhiy Leshchenko has published a contract and invoice supposedly from Manafort, a former adviser to pro-Russia former Ukrainian President Viktor Yanukovych, detailing a $750000 payment to Manafort's consulting company in 2009, the BBC reports. The invoice is for 501 pieces of computer equipment, though Leshchenko says it matches a payment to Manafort listed in a secret ledger uncovered by anti-corruption investigators in Ukraine. Manafort resigned days after reports on the ledger surfaced.  So, it looks like Manafort wasn't a political consultant. He was a trader of computer processors,  Leshchenko quips to CNN.  But I'm sure it's a fake contract and a fake invoice just to establish—artificially establish—a legal basis for a transaction.  He alleges that the payment, which went through offshore accounts in Belize and Kyrgyzstan, was really for consulting work for Yanukovych's Party of Regions. Manafort has denied receiving cash payments from the leader, and a spokesman says the latest claims are  baseless.  At a House hearing Monday, FBI chief James Comey declined to say whether the US is coordinating with Ukraine to investigate the alleged payments, the Washington Post reports.",Former Trump Aide Accused of Hiding $<MASK>K Payment,750,750,"Paraphrase(750,000,K)",<MASK> = 750
"(May 11, 2020  7:16 AM CDT) A big skateboarding first is in the books, and an 11-year-old kid gets all the credit. In the sport's lingo, Brazil's Gui Khury  threw down the first 1080 on a vert ramp,  writes Cassandra Negley at Yahoo Sports. Translation for those less versed in the sport: Gui launched himself into the air off a vertical ramp and completed three full rotations, or 1080 degrees, before landing cleanly, reports Reuters. See the video, via the XGames. The feat  has long been one of the holy grails of skateboarding  in the words of the Guardian. The coverage notes that Gui's maneuver comes more than two decades after Tony Hawk, at the ripe old age of 31, completed the first 900-degree turn in 1999.  I was like, oh my God, what did I just do?  Gui tells Reuters.  I was just like OK, I landed it. Now I am going to celebrate.  His father tells the outlet that the COVID-19 lockdown in place played a role, because his son has had more time to practice.  The isolation helped him focus,  says Ricardo Khury Filho. Yahoo notes that a 1080 has been completed previously, though that one came off a  mega ramp,  which is larger than a vertical ramp and allows the skateboarder to gain more speed before launching into the rotation. Thus, the  vert  distinction in Gui's case is important.",<MASK>-Year-Old Grabs a Skateboarding 'Holy Grail',11,11,Copy(11),<MASK> = 11
"(Jun 14, 2013  6:03 AM CDT) Edward Snowden is still in Hong Kong, where he's making more claims about NSA practices: In an interview with the South China Morning Post, he says the agency has been hacking systems in China and Hong Kong since 2009.  We hack network backbones—like huge internet routers, basically—that give us access to the communications of hundreds of thousands of computers without having to hack every single one,  he says. Among hundreds of targets in the region is the Chinese University of Hong Kong, he notes, as well as local officials, businesses, and students; the documents he accessed make no mention of Chinese military systems, notes Snowden. Snowden says the NSA has conducted more than 61000 hacking efforts worldwide, citing  the hypocrisy of the US government when it claims that it does not target civilian infrastructure, unlike its adversaries.  The US  is so afraid of this being known that it is willing to use any means, such as diplomatic intimidation, to prevent this information from becoming public.  As for his own safety, Snowden says the US is  bullying  Hong Kong to extradite him—but he'll stay  until I am asked to leave.  Should that come to pass, a heads up that the UK doesn't want him: The AP reports that the British government has instructed UK-bound carriers not to allow Snowden to board because  the individual is highly likely to be refused entry to the UK.",Snowden: NSA Has Been Hacking China Since <MASK>,2009,2009,Copy(2009),Snowden: NSA Has Been Hacking China Since 2009
"(Apr 9, 2012  1:16 PM CDT) The more popular the Hunger Games trilogy becomes, the more reasons some parents and educators have found to question whether it belongs on library shelves. For the second year in a row, Suzanne Collins' work was among the most  challenged  books, as reported yesterday by the American Library Association's Office for Intellectual Freedom. The association defines a challenge as  a formal, written complaint filed with a library or school requesting that a book or other material be restricted or removed because of its content or appropriateness.  Collins' million-selling novels ranked No. 3 on the association's list, rising from No. 5 last year. In last year's list, when just the title book of the trilogy was in the top 10, complaints included  sexually explicit  and  unsuited to age group and violence.  For the new study, which also included Catching Fire and Mockingjay, the objections were more varied, and harsher, including,  Anti-ethnic; anti-family; insensitivity; offensive language; occult/satanic; violence.  Barbara Jones, director of the ALA's Office for Intellectual Freedom, thinks anticipation for the Hunger Games film led to closer criticism of the books. The most challenged works were Lauren Myracle's tween novels ttyl, ttfn, l8r, and g8r, followed by Kim Dong Hwa's The Color of Earth series.",Hunger Games Hits No. <MASK> on Challenged Books List,3,3,Copy(3),<MASK> = 3
"(Jan 30, 2018  7:03 AM) Child development experts and advocates are urging Facebook to pull the plug on its new messaging app aimed at kids. A group letter sent Tuesday to CEO Mark Zuckerberg argues that younger children—the app is intended for those under 13—aren't ready to have social media accounts, navigate the complexities of online relationships, or protect their own privacy. Facebook launched the free Messenger Kids app in December, pitching it as a way for children to chat with family members and parent-approved friends. It doesn't give kids separate Facebook or Messenger accounts. Rather, the app works as an extension of a parent's account, and parents get controls such as the ability to decide who their kids can chat with, the AP reports.",Experts Urge Facebook to Drop App for Under-<MASK>s,13,13,Copy(13),<MASK> = 13
"(Aug 13, 2015  10:59 AM CDT) The 11 men sitting on death row in Connecticut won't die by the state's hand following today's ruling by the state's highest court. The state abolished the death penalty in April 2012, but only for future crimes; today's decision by the Connecticut Supreme Court concerned whether that ban should also affect those who were on death row prior to the 2012 ruling. The  deeply divided  court ruled 4-3 that the death penalty is a violation of the state's constitution, reports the Hartford Courant. The decision will affect Joshua Komisarjevsky and Steven Hayes, who were sentenced to die for killing a mother and her two daughters in 2007 in the high-profile Petit home invasion. The ruling comes in an appeal from Eduardo Santiago, whose attorneys had argued that any execution carried out after repeal would constitute cruel and unusual punishment. Santiago faced the possibility of lethal injection for a 2000 murder-for-hire killing in West Hartford. The repeal eliminated the death penalty while setting life in prison without the possibility of release as the punishment for crimes formerly considered capital offenses. Connecticut has had just one execution since 1960. Serial killer Michael Ross was put to death 2005 after winning a legal fight to end his appeals.",The <MASK> Men on Connecticut's Death Row Won't Die,11,11,Copy(11),The <MASK> Men on Connecticut's Death Row Won't Die = 11
"(Apr 30, 2012  10:50 AM CDT) Thousands of small drones could take wing across the US following a Federal Aviation Administration decision next month. Police departments have been snapping up the unmanned aircraft, whose cameras could be used for everything from missing-person searches to catching drug dealers. Now law enforcement is waiting on the FAA to lay out rules for using the drones—guidelines that must be set by May 14 under a February law signed by President Obama. The FAA must rule on how far and high the drones will be allowed to go, as well as who will be eligible to launch them. While backers cite a  public interest  in getting the drones off the ground as soon as possible, civil rights groups worry about invasive domestic surveillance and safety advocates say that ramming the guidelines through in the next two weeks will endanger other aircraft. Though the May 14 decision will apply only to police and first-responder drones weighing less than 4.4 pounds, the gadgets could someday be used for more mundane tasks like selling real estate and dusting crops, the Los Angeles Times notes.",Due in <MASK> Weeks: FAA Rules for Drones in US Skies,2,2,Trans(two),<MASK> = 2
"(Jul 17, 2019  6:20 PM CDT) Republican Sen. Rand Paul on Wednesday blocked fast-track approval of a bipartisan bill that would ensure a victims' compensation fund related to the Sept. 11 attacks never runs out of money, the AP reports. Paul objected to a request by Sen. Kirsten Gillibrand, D-NY, to approve the bill by unanimous consent. Paul, R-Ky., questioned the bill's 70-year time frame and said any new spending should be offset by corresponding cuts. The government already faces a $22 trillion debt, a figure that grows every year, Paul said. The Congressional Budget Office estimates the 9/11 bill would result in about $10.2 billion in additional compensation payments over 10 years, including more than $4 billion for claims already filed.",Rand Paul Puts His Foot Down Over <MASK> Bill,11-Sep,11-Sep,Copy(9/11),<MASK> = 9/11
"(Jul 13, 2010  6:49 AM CDT) With New England Republicans Olympia Snowe and Scott Brown on board, Senate Democrats appear to have the 60 votes they need to pass the Wall Street reform bill. The move by Snowe and Brown means Dems won't have to wait for the appointment of a successor to the late Sen. Robert Byrd before passing the overhaul and sending it to President Obama. The conference report, the Democratic Congress's second major overhaul after health reform, would tighten regulation of credit cards and mortgages, regulate the $600 trillion derivatives market, boost oversight of financial system risks, and seek to prevent future taxpayer-funded Wall Street bailouts. Besides Snowe and Brown, Dems have commitments from 57 of their members and Maine Republican Susan Collins, the Hill reports.","Brown, Snowe Give Dems <MASK> Votes to Pass Wall Street Bill",60,59,Copy(60),<MASK> = 59
"(Sep 30, 2008  7:26 PM CDT) President Bush today approved the $25 billion in low-interest loans aimed at helping US automakers in their transition to building more fuel-efficient vehicles, the Wall Street Journal reports. The industry long pushed for the package, estimating the total cost of the makeover at $100 billion. It’s now up the Energy Department to set eligibility guidelines, with lawmakers hoping funds can be available by mid-2009.",Bush OKs $<MASK>B for Car Giants,25,25,Copy(25),<MASK> = 25
"(Aug 10, 2010  11:00 AM CDT) The September issues—typically the biggest of the year for fashion magazines—are out soon, and many of them showcase a trend: Hot over-40 women. Vogue has Halle Berry, 44 on Saturday; Harper’s Bazaar features Jennifer Aniston, 41; and Elle has Julia Roberts, 42.  I love that they've grown into their style. One of the things about getting older is you do grow into your sense of self. You don't look victim-y anymore,  a Harper’s honcho tells the Hollywood Reporter. Not to mention, adds another magazine editor,  Who is there with any kind of real style or longevity in their 30s or 20s right now? Britney Spears? Kim Kardashian? These are flashes in the pan. Many are shallow reality stars like Snooki. Style icon? Um, talk to me in a year. Lindsay Lohan? What's to look up to?  Sales figures back up the argument that  older  stars can still sell magazines—and movies—while 20something starlets like Megan Fox struggle. Click here for highlights from Julia Roberts' Elle interview.",Over-<MASK> Stars Dominate September Issues,40,40,Copy(40),<MASK> = 40
"(Nov 1, 2009  11:07 PM) Alex Rodriguez hit a go-ahead, two-out double in the ninth inning off Brad Lidge and the Yankees beat the Phillies, 7-4, tonight in Philadelphia to claim a 3-1 lead in the World Series. Joba Chamberlain opened the door for the Phillies, yielding a homer to Pedro Feliz with two out in the eighth to tie the score at 4, but A-Rod, Johnny Damon, Jorge Posada, and Mariano Rivera pulled it out as the Yankees moved within one win of their elusive 27th championship. Seething after again being hit by a pitch in the first—for a Series record-tying third time— Rodriguez struck back with his potent black bat. In the ninth, he faced Lidge, making his first World Series appearance since striking out Eric Hinske to clinch the title last year, and shook off any lingering doubts about his postseason fortitude. AJ Burnett will try to wrap things up Monday night on short rest, opposed by Cliff Lee, who's been on the shelf since winning Game 1.",A-Rod's Clutch Double Sparks <MASK>-4 Game 4 Win,7,,Copy(7),<MASK> = Yankees
"(Aug 11, 2015  1:00 PM CDT) A 91-year-old retired surgeon has been charged with importing cocaine hidden in soap into Australia, prompting police to warn travelers to beware they are not tricked into becoming drug mules. Victor Twartz of Sydney was released on bail when he appeared in Sydney's Downing Center Local Court, charged with importing a commercial quantity of cocaine last month. He did not enter a plea and will appear in court on Oct. 6. Twartz faces a potential life prison sentence if he is convicted of importing 10 pounds of the drug into Sydney Airport on a July 8 flight from New Delhi. A search of Twartz's luggage found 27 packages of soap that tested positive for cocaine. Police say it appears that Twartz was scammed by a group of people he had befriended online before his trip. Twartz tells Australian Broadcasting Corp. that he met up with those people in New Delhi, and as he was about to board his plane to return to Sydney, he was handed a bag that he was told contained gifts for someone in Australia. As Twartz left court today, a reporter asked if he had been taken advantage of.  Always, always,  he replied.","Man, <MASK>, May Have Become an Unwitting Drug Mule",91,91,Copy(91),<MASK> = 91
"(Apr 30, 2015  8:46 PM CDT) Heisman winner Jameis Winston, no stranger to controversy, is the No. 1 pick in the NFL draft. The Tampa Bay Buccaneers selected the former Florida State quarterback tonight, making him the face of a franchise that missed the playoffs the past seven seasons and hasn't won a postseason game since the club's Super Bowl run in 2002. Coach Lovie Smith and GM Jason Licht made the call, concluding after months of interviews and exhaustive research that Winston not only can be the answer to the team's offensive woes, but that the 21-year-old has learned from off-the-field mistakes that threatened to undermine his stock in the draft. In the highest-profile incident, a former Florida State student said Winston sexually assaulted her, though he said the sex was consensual. He was never charged or arrested. Smith and Licht said repeatedly over the past two months that they were comfortable with the prospect of taking Winston, who also generated negative headlines for shoplifting crab legs from a supermarket. Last season he was suspended for one game after climbing onto a table in the FSU student union and shouting an obscenity. Winston was not in Chicago for the NFL draft; he was in his hometown of Bessemer, Ala., with family and friends.",Bucs Make Controversial QB Winston No. <MASK> Pick,1,1,Copy(1),<MASK> = 1
"(Jun 28, 2018  6:35 PM CDT) Rescuers punched a hole into the side of a mountain on Thursday in a desperate attempt to drain rising water from a flooded cave in northern Thailand where 12 boys and their soccer coach have been missing for five days, reports the AP. But the effort appeared unsuccessful and the situation remained dire, with no guarantee that the water will soon recede from the cave with months left in Thailand's rainy season. Divers have been unable to navigate passages filled with muddy water, and rescuers are seeking alternative ways of entering the sprawling cave, hoping to find hidden shafts in the mountain that might offer a backdoor into the caverns. More than 600 people are combing the mountain for possible cracks. A few shafts that were found were ruled out, but Interior Minister Anupong Paojinda said rescuers are still looking at three locations.",Desperate Search Continues for <MASK> Boys in Flooded Cave,12,12,Copy(12),<MASK> = 12
"(Sep 13, 2019  11:44 AM CDT) A Mississippi couple welcomed a 9-pound, 11-ounce baby into the world on 9/11, at 9:11pm, the AP reports. The Commercial Appeal reports Christina Malone-Brown was born by cesarean section at a hospital in Germantown, Tenn. Christina's father, Justin Brown, says bystanders joked his family should play the lottery. The doctor kept saying,  Oh my goodness, I've got a 9/11, 9/11, 9/11,  he adds. The newborn's mother, Cametrione Malone-Brown, says her baby girl brought a spot of light to a day darkened by memories of the 2001 terror attacks.","She Gave Birth on <MASK>. Then, the Doctor's 'Oh, My Goodness'",11-Sep,11-Sep,Copy(9/11),< MASK > = 9/11
